feature_name,family,min,max,mean,std,unique_values,missing_values,coefficient_of_variation,near_constant
experimental__harmony_heavy__applied_dominant_ratio,experimental_harmony_heavy,0.0,0.0,0.0,0.0,1,0,0.0,True
experimental__harmony_heavy__rn_backend_available,experimental_harmony_heavy,1.0,1.0,1.0,0.0,1,0,0.0,True
experimental__harmony_heavy__secondary_function_ratio,experimental_harmony_heavy,0.0,0.0,0.0,0.0,1,0,0.0,True
experimental__syntax_interaction__mean_resolution_delay,experimental_syntax_interaction,0.0,0.0,0.0,0.0,1,0,0.0,True
experimental__syntax_interaction__resolved_stepwise_ratio,experimental_syntax_interaction,0.0,0.0,0.0,0.0,1,0,0.0,True
experimental__rhythm_phrase__measure_density_regularity,experimental_rhythm_phrase,0.6764520031895268,0.8647490229007052,0.7669345422776375,0.041482906357544924,127,0,0.05408923978616121,False
experimental__chromaticism__pitch_class_entropy,experimental_chromaticism,1.7230852746397425,2.3641784491737368,2.09474215942982,0.12208432180465277,127,0,0.05828131221547744,False
experimental__rhythm_phrase__four_bar_density_periodicity_score,experimental_rhythm_phrase,0.6247798003523195,0.915492957746479,0.7657392564771882,0.05576260617432832,126,0,0.07282192430732395,False
experimental__texture__simultaneity_ratio,experimental_texture,0.5135135135135135,1.0,0.9228822218502486,0.10786059144958196,31,0,0.11687362579521436,False
experimental__texture__register_span_max,experimental_texture,31.0,58.0,46.36231884057971,5.700167845209303,24,0,0.12294829050310782,False
experimental__texture__single_note_event_ratio,experimental_texture,0.1925925925925926,1.0,0.881105118719341,0.11180959520837787,120,0,0.12689699881767755,False
experimental__harmony_light__chord_common_name_entropy,experimental_harmony_light,1.8443488167339364,3.703877179639647,3.0384670162336977,0.41386351166723506,127,0,0.1362079987888878,False
experimental__harmony_heavy__predominant_ratio,experimental_harmony_heavy,0.2448979591836734,0.5405405405405406,0.4012045130499737,0.05971562379032711,127,0,0.14884085758748428,False
experimental__chromaticism__chromatic_step_ratio,experimental_chromaticism,0.0994318181818181,0.3340336134453781,0.19894429697687785,0.04459392480204074,126,0,0.22415281804847934,False
experimental__chromaticism__melodic_semitone_motion_ratio,experimental_chromaticism,0.0994318181818181,0.3340336134453781,0.19894429697687785,0.04459392480204074,126,0,0.22415281804847934,False
experimental__harmony_heavy__modal_mixture_ratio,experimental_harmony_heavy,0.1024590163934426,0.3535911602209944,0.2192296037426167,0.05019078262919637,125,0,0.22894162910645097,False
experimental__rhythm_phrase__duration_entropy,experimental_rhythm_phrase,0.3556009915210454,1.9299095559446369,1.232390858239,0.2831103229763951,127,0,0.22972445883032586,False
experimental__rhythm_phrase__short_note_ratio,experimental_rhythm_phrase,0.1868686868686868,0.9753086419753086,0.7823064980532858,0.18559181023885132,127,0,0.23723669776575215,False
experimental__texture__left_right_register_gap_mean,experimental_texture,7.912557996550653,38.22222222222222,16.349867438078466,4.043766564398715,127,0,0.24732717740456267,False
experimental__texture__register_span_mean,experimental_texture,11.709677419354838,49.833333333333336,26.7216501052767,6.990108568521104,121,0,0.2615897050137923,False
experimental__harmony_heavy__tonic_ratio,experimental_harmony_heavy,0.096,0.4722222222222222,0.25713948505479833,0.07097621470786103,123,0,0.2760222324188581,False
experimental__rhythm_phrase__repeated_rhythm_pattern_ratio,experimental_rhythm_phrase,0.0625,0.953125,0.6455476421031813,0.18668473716541323,56,0,0.2891881636453633,False
experimental__harmony_heavy__dominant_ratio,experimental_harmony_heavy,0.0675675675675675,0.3469387755102041,0.17947426431666055,0.05298931680402527,124,0,0.295247438432354,False
experimental__harmony_light__dissonant_verticality_ratio,experimental_harmony_light,0.0634920634920634,0.5401459854014599,0.2966877473717586,0.09112757302610394,126,0,0.3071497688508126,False
experimental__harmony_heavy__local_key_count,experimental_harmony_heavy,3.0,16.0,9.971014492753623,3.0667502248828393,13,0,0.30756651964668014,False
experimental__chromaticism__non_diatonic_pitch_class_count,experimental_chromaticism,0.0,5.0,4.166666666666667,1.2998513478740745,6,0,0.3119643234897779,False
experimental__rhythm_phrase__rest_punctuation_ratio,experimental_rhythm_phrase,0.0,1.0,0.7131041159477582,0.2689628483279728,56,0,0.37717191965790997,False
experimental__harmony_heavy__chromatic_chord_ratio,experimental_harmony_heavy,0.0,0.4506172839506173,0.18781392005428044,0.08022906950719039,125,0,0.42717318015620587,False
experimental__harmony_heavy__modulation_count,experimental_harmony_heavy,4.0,59.0,33.094202898550726,14.926820371184709,44,0,0.4510403352799408,False
experimental__texture__max_notes_per_onset,experimental_texture,20.0,243.0,106.51449275362319,50.10702104571808,85,0,0.47042444413287265,False
experimental__harmony_heavy__mean_harmonic_rhythm,experimental_harmony_heavy,0.0712121272727272,0.5,0.2218817177629789,0.10583438908040665,62,0,0.4769856216520836,False
experimental__harmony_light__harmonic_rhythm_mean,experimental_harmony_light,0.0712121272727272,0.5,0.2218817177629789,0.10583438908040665,62,0,0.4769856216520836,False
experimental__texture__mean_notes_per_onset,experimental_texture,9.25,116.75,37.287061261456486,20.52769071367865,125,0,0.550531203565191,False
experimental__harmony_heavy__diminished_chord_ratio,experimental_harmony_heavy,0.0,0.1359223300970873,0.049813042055809775,0.027947998957754436,123,0,0.5610578636502851,False
experimental__chromaticism__out_of_key_pitch_ratio,experimental_chromaticism,0.0,0.2630057803468208,0.08211824342665672,0.04618554968474517,126,0,0.56242739441931,False
experimental__texture__onset_density_per_quarter,experimental_texture,0.0311284046692607,0.4437720625315179,0.15980380966278146,0.09223349886309166,91,0,0.577167084174796,False
experimental__harmony_heavy__non_diatonic_root_ratio,experimental_harmony_heavy,0.0,0.2642276422764227,0.08053323609712879,0.04868618004378275,125,0,0.6045476675625424,False
experimental__harmony_light__vertical_chromaticity_ratio,experimental_harmony_light,0.0,0.4810810810810811,0.16066296829809137,0.09783916264506547,126,0,0.6089714616969875,False
experimental__harmony_heavy__rn_event_count,experimental_harmony_heavy,49.0,1343.0,368.4130434782609,235.6268767506351,118,0,0.6395725692175143,False
experimental__harmony_light__chordified_event_count,experimental_harmony_light,49.0,1343.0,368.4130434782609,235.6268767506351,118,0,0.6395725692175143,False
experimental__chromaticism__accidental_density,experimental_chromaticism,0.0,0.5594202898550724,0.20656515122722852,0.13799265784103124,126,0,0.6680345499770904,False
experimental__harmony_light__triad_ratio,experimental_harmony_light,0.0,0.4421052631578947,0.13092163780025734,0.09433778369676166,118,0,0.7205667854590208,False
experimental__harmony_heavy__seventh_chord_ratio,experimental_harmony_heavy,0.0,0.7473684210526316,0.1630725747459287,0.12213434703678293,126,0,0.7489570041257483,False
experimental__rhythm_phrase__ioi_entropy,experimental_rhythm_phrase,0.0,1.8848713335781608,0.7079800151684764,0.5333247556262393,65,0,0.7533048168023856,False
experimental__rhythm_phrase__measure_density_variance,experimental_rhythm_phrase,0.9097222222222222,73.5625,19.445999959460735,16.300237762961583,126,0,0.8382308853719452,False
experimental__texture__arpeggiation_proxy,experimental_texture,0.0,0.3666666666666666,0.06526081603898301,0.05638433976387293,125,0,0.863984595751794,False
experimental__rhythm_phrase__long_note_ratio,experimental_rhythm_phrase,0.0143737166324435,0.8131313131313131,0.20393870256102362,0.1810515533042315,127,0,0.8877743705859671,False
experimental__syntax_interaction__dominant_arrival_density,experimental_syntax_interaction,0.0,0.128,0.029063940668980395,0.026629505838922877,71,0,0.9162386526388776,False
experimental__texture__bass_motion_rate,experimental_texture,0.0,3.875,0.9400892065234678,0.8615657836543869,121,0,0.9164723705748442,False
experimental__harmony_heavy__deceptive_motion_count,experimental_harmony_heavy,0.0,16.0,3.536231884057971,3.3147877285521954,15,0,0.9373784970086126,False
experimental__texture__accompaniment_continuity_proxy,experimental_texture,0.0104895104895104,1.0,0.290554550490078,0.2726312946624846,122,0,0.9383136288956333,False
experimental__harmony_heavy__cadence_like_V_I_count,experimental_harmony_heavy,0.0,19.0,3.8115942028985508,3.806079661023052,15,0,0.9985532190516752,False
experimental__syntax_interaction__cadence_spacing_mean,experimental_syntax_interaction,0.0,1.9375,0.27464633293437646,0.33040414957763886,43,0,1.2030167890739145,False
experimental__rhythm_phrase__end_of_measure_long_note_ratio,experimental_rhythm_phrase,0.0,1.0,0.13707397351076978,0.21043285516762003,40,0,1.5351773190633196,False
experimental__harmony_light__seventh_chord_ratio,experimental_harmony_light,0.0,0.2226277372262773,0.020666557798404452,0.032010733730394564,93,0,1.5489146302276777,False
experimental__syntax_interaction__cadence_spacing_variance,experimental_syntax_interaction,0.0,2.25,0.11284281508079175,0.2532002064820498,59,0,2.2438309989055734,False
experimental__harmony_heavy__harmonic_rhythm_variance,experimental_harmony_heavy,0.0,0.1049382561728888,0.007112615641388264,0.017117645794172284,71,0,2.4066597518028128,False
experimental__harmony_light__harmonic_rhythm_variance,experimental_harmony_light,0.0,0.1049382561728888,0.007112615641388264,0.017117645794172284,71,0,2.4066597518028128,False
experimental__syntax_interaction__dissonance_on_strong_beat_ratio,experimental_syntax_interaction,0.0,1.0,0.028985507246376812,0.16776575221435108,2,0,5.787918451395112,False
experimental__syntax_interaction__unresolved_dissonance_ratio,experimental_syntax_interaction,0.0,1.0,0.028985507246376812,0.16776575221435108,2,0,5.787918451395112,False
experimental__syntax_interaction__accented_non_chord_tone_ratio,experimental_syntax_interaction,0.0,0.0021186440677966,4.382574665133623e-05,0.0002671766635342381,5,0,6.096340255416778,False
experimental__syntax_interaction__non_chord_tone_ratio,experimental_syntax_interaction,0.0,0.0021186440677966,4.382574665133623e-05,0.0002671766635342381,5,0,6.096340255416778,False
